,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
56,66359_1000663589,1.4167128,1.3052262,1.1835998,0.0,0.0,0.0,0.0,0.0,0.0,1.4850796,1.246607,1.1835903,0.0,0.0,0.0,0.0,0.0,0.0,18.86761984469393,1.0,1.0,0.03455815113320682,1
57,60379_1000603790,1.458707,1.4632947,1.2718732,0.0,0.0,0.0,0.0,0.0,0.0,1.5069546,1.4166124,1.2718272,0.0,0.0,0.0,0.0,0.0,0.0,19.10126770457175,1.0,1.0,0.0028201302248539277,0
58,60574_1000605740,1.475177,1.3608285,1.2332386,0.0,0.0,0.0,0.0,0.0,0.0,1.5296615,1.3126411,1.2328515,0.0,0.0,0.0,0.0,0.0,0.0,11.40880489021364,1.0,1.0,0.02022127341533536,0
59,69836_1000698360,1.4568523,1.1786159,1.1394655,0.0,0.0,0.0,0.0,0.0,0.0,1.4951919,1.1496265,1.1393917,0.0,0.0,0.0,0.0,0.0,0.0,13.28224424572753,1.0,1.0,0.07130502409942995,1
60,68166_1000681659,1.3673244,1.3606381,1.1874104,0.0,0.0,0.0,0.0,0.0,0.0,1.8213172,1.0372715,1.1872344,0.0,0.0,0.0,0.0,0.0,0.0,10.58686209161864,1.0,1.0,0.020566687349626044,0
61,62823_1000628229,1.4363776,1.3785723,1.2249681,0.0,0.0,0.0,0.0,0.0,0.0,2.0455544,0.9923423,1.2245286,0.0,0.0,0.0,0.0,0.0,0.0,12.75787319848322,1.0,1.0,0.01640429313165461,0
62,62011_1000620109,1.3199496,1.2473047,1.1169254,0.0,0.0,0.0,0.0,0.0,0.0,1.4625064,1.1293178,1.1169333,0.0,0.0,0.0,0.0,0.0,0.0,14.2163974239184,1.0,1.0,0.051806858354022704,1
63,64220_1000642199,1.348773,1.4024543,1.1972677,0.0,0.0,0.0,0.0,0.0,0.0,1.4333603,1.3199396,1.1972227,0.0,0.0,0.0,0.0,0.0,0.0,10.20953736141401,1.0,1.0,0.02336298320065439,0
64,60098_1000600979,1.2782505,1.480437,1.1969142,0.0,0.0,0.0,0.0,0.0,0.0,1.8645518,1.0312026,1.1967369,0.0,0.0,0.0,0.0,0.0,0.0,15.04976746186013,1.0,1.0,0.04145796388710673,1
65,69527_1000695270,1.3417033,1.4531708,1.2153782,0.0,0.0,0.0,0.0,0.0,0.0,1.6219178,1.2068735,1.2153299,0.0,0.0,0.0,0.0,0.0,0.0,11.53722812823139,1.0,1.0,0.024889712853531393,0
